,subj,trial,choice,roi,rt,upleftval,uprightval,downleftval,downrightval,fixdur,fixnum,revfixnum
3216,30,5,0,2,2405.3,286,256,79,198,161.72,1,7
3319,30,5,0,1,2405.3,286,256,79,198,29.93,2,6
3415,30,5,0,2,2405.3,286,256,79,198,200.03,3,5
3517,30,5,0,4,2405.3,286,256,79,198,343,4,4
3612,30,5,0,3,2405.3,286,256,79,198,218,5,3
3710,30,5,0,1,2405.3,286,256,79,198,350.1,6,2
3810,30,5,0,2,2405.3,286,256,79,198,303.1,7,1
6416,30,8,0,2,5951.7,186,272,153,12,505.76,1,11
6510,30,8,0,4,5951.7,186,272,153,12,234.94,2,10
6610,30,8,0,3,5951.7,186,272,153,12,204.2,3,9
6718,30,8,0,1,5951.7,186,272,153,12,292.1,4,8
6812,30,8,0,2,5951.7,186,272,153,12,1011,5,7
6914,30,8,0,1,5951.7,186,272,153,12,286.3,6,6
7013,30,8,0,3,5951.7,186,272,153,12,336.3,7,5
713,30,8,0,1,5951.7,186,272,153,12,948.1,8,4
